Date,Name,Marcap
1996-02-07,삼성전자(1우),1548190056000.0
1996-02-07,유공,1512759898000.0
1996-02-07,한일은행,1510600000000.0
1996-02-08,한국전력공사,18959609009600.0
1996-02-08,삼성전자,9280729350000.0
1996-02-08,포항종합제철,5070697740000.0
1996-02-08,한국이동통신,3846234403000.0
1996-02-08,대우중공업,2919187470960.0
1996-02-08,신한은행,1983520000000.0
1996-02-08,엘지전자,1956870784800.0
1996-02-08,현대건설,1845174189600.0
1996-02-08,데이콤,1764909000000.0
1996-02-08,한국외환은행,1699500000000.0
1996-02-08,삼성전관,1640287798400.0
1996-02-08,조흥은행,1623600000000.0
1996-02-08,유공,1561756170000.0
1996-02-08,삼성전자(1우),1538974639000.0
1996-02-08,한일은행,1527200000000.0
1996-02-09,한국전력공사,18710140470000.0
1996-02-09,삼성전자,9077501700000.0
1996-02-09,포항종합제철,5061307559000.0
1996-02-09,한국이동통신,3639879055000.0
1996-02-09,대우중공업,2929906641600.0
1996-02-09,신한은행,1946560000000.0
1996-02-09,엘지전자,1939705251600.0
1996-02-09,현대건설,1835411363200.0
1996-02-09,데이콤,1705860000000.0
1996-02-09,한국외환은행,1683000000000.0
1996-02-09,조흥은행,1623600000000.0
1996-02-09,삼성전관,1591257456600.0
1996-02-09,유공,1586254306000.0
1996-02-09,한일은행,1540480000000.0
1996-02-09,상업은행,1502800000000.0
1996-02-10,한국전력공사,18086469121000.0
1996-02-10,삼성전자,8908145325000.0
1996-02-10,포항종합제철,4920454844000.0
1996-02-10,한국이동통신,3576826032000.0
1996-02-10,대우중공업,2912041357200.0
1996-02-10,신한은행,1946560000000.0
1996-02-10,엘지전자,1931122485000.0
1996-02-10,현대건설,1825648536800.0
1996-02-10,한국외환은행,1716000000000.0
1996-02-10,데이콤,1692738000000.0
1996-02-10,조흥은행,1640000000000.0
1996-02-10,삼성전관,1589028804700.0
1996-02-10,한일은행,1568700000000.0
1996-02-10,유공,1549507102000.0
1996-02-10,상업은행,1506200000000.0
1996-02-12,한국전력공사,17961734851200.0
1996-02-12,삼성전자,8908145325000.0
1996-02-12,포항종합제철,4920454844000.0
1996-02-12,한국이동통신,3622682776000.0
1996-02-12,대우중공업,2826287992080.0
1996-02-12,엘지전자,1922539718400.0
1996-02-12,신한은행,1909600000000.0
1996-02-12,현대건설,1820767123600.0
1996-02-12,한국외환은행,1699500000000.0
1996-02-12,데이콤,1699299000000.0
1996-02-12,조흥은행,1608840000000.0
1996-02-12,삼성전관,1582342849000.0
1996-02-12,한일은행,1538820000000.0
1996-02-12,유공,1512759898000.0
1996-02-12,상업은행,1487500000000.0
1996-02-13,한국전력공사,17712266311600.0
1996-02-13,삼성전자,8840402775000.0
1996-02-13,포항종합제철,4920454844000.0
1996-02-13,한국이동통신,3657075334000.0
1996-02-13,대우중공업,2822714935200.0
1996-02-13,신한은행,1897280000000.0
1996-02-13,엘지전자,1871043118800.0
1996-02-13,현대건설,1806122884000.0
1996-02-13,데이콤,1673055000000.0
1996-02-13,한국외환은행,1666500000000.0
1996-02-13,삼성전관,1602400716100.0
1996-02-13,조흥은행,1587520000000.0
1996-02-13,한일은행,1525540000000.0
1996-02-13,상업은행,1485800000000.0
1996-02-13,유공,1469888160000.0
1996-02-14,한국전력공사,17899367716300.0
1996-02-14,삼성전자,8806531500000.0
1996-02-14,포항종합제철,4854723577000.0
1996-02-14,한국이동통신,3708664171000.0
1996-02-14,대우중공업,2837007162720.0
1996-02-14,신한은행,1934240000000.0
1996-02-14,엘지전자,1845294819000.0
1996-02-14,현대건설,1820767123600.0
1996-02-14,한국외환은행,1716000000000.0
1996-02-14,데이콤,1659933000000.0
1996-02-14,삼성전관,1635830494600.0
1996-02-14,조흥은행,1607200000000.0
1996-02-14,한일은행,1560400000000.0
1996-02-14,상업은행,1513000000000.0
1996-02-14,유공,1506635364000.0
1996-02-15,한국전력공사,17712266311600.0
1996-02-15,삼성전자,8908145325000.0
1996-02-15,포항종합제철,4835943215000.0
1996-02-15,한국이동통신,3691467892000.0
1996-02-15,대우중공업,2862018560880.0
1996-02-15,신한은행,1934240000000.0
1996-02-15,엘지전자,1845294819000.0
1996-02-15,현대건설,1830529950000.0
1996-02-15,한국외환은행,1749000000000.0
1996-02-15,데이콤,1659933000000.0
1996-02-15,조흥은행,1656400000000.0
1996-02-15,한일은행,1577000000000.0
1996-02-15,상업은행,1541900000000.0
1996-02-15,유공,1494386296000.0
1996-02-16,한국전력공사,17774633446500.0
1996-02-16,삼성전자,9145244250000.0
1996-02-16,포항종합제철,4854723577000.0
1996-02-16,한국이동통신,3668539520000.0
